X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
-327.9797889,-126.4303861,2.395E-09,-326.2678082,-131.1340139,-329.68801,-121.7370879,5.005496244,10
-328.1368716,-126.5055477,4.7544E-08,-326.4306736,-131.1932921,-329.8508726,-121.7963649,4.988592845,10
-328.2944757,-126.5807398,9.0586E-08,-326.5940063,-131.2527403,-330.0142083,-121.8558143,4.971839216,10
-328.4526037,-126.6559547,1.22474E-07,-326.7578111,-131.3123604,-330.1780117,-121.9154338,4.955243191,10
-328.6112672,-126.7311606,1.0617E-07,-326.9220843,-131.3721509,-330.3422867,-121.9752251,4.938838972,10
-328.7704645,-126.8063631,6.5991E-08,-327.0868306,-131.4321136,-330.5070292,-122.0351864,4.92262036,10
-328.9301845,-126.8815928,1.1683E-08,-327.2520422,-131.4922458,-330.672247,-122.0953208,4.906555111,10
-329.0904263,-126.9568506,-4.2784E-08,-327.417728,-131.5525505,-330.83793,-122.1556245,4.890641841,10
-329.2511978,-127.032112,-9.1057E-08,-327.5838815,-131.6130254,-331.0040833,-122.2160994,4.874906298,10
-329.4125049,-127.1073598,-1.28554E-07,-327.7505039,-131.673671,-331.1707047,-122.2767446,4.859366806,10
-329.5743344,-127.1826299,-1.02961E-07,-327.9175948,-131.7344871,-331.3377946,-122.3375603,4.843984926,10
-329.7366828,-127.2579326,-6.4095E-08,-328.0851537,-131.7954735,-331.5053539,-122.3985469,4.828749922,10
-329.8995569,-127.3332491,-1.7952E-08,-328.2531803,-131.8566302,-331.6733827,-122.4597044,4.813681837,10
-330.0629675,-127.4085483,2.8322E-08,-328.421678,-131.9179583,-331.8418766,-122.5210311,4.798813368,10
-330.2269017,-127.4838626,6.92E-08,-328.5906392,-131.9794552,-332.0108418,-122.5825294,4.784109887,10
-330.3913524,-127.5592116,9.455E-08,-328.7600697,-132.0411229,-332.1802719,-122.6441969,4.76955049,10
-330.5563209,-127.6345907,1.0226E-07,-328.9299679,-132.1029607,-332.3501681,-122.7060341,4.755139867,10
-330.7218144,-127.7099795,1.01126E-07,-329.1003309,-132.1649678,-332.5205329,-122.7680418,4.740899665,10
-330.8878346,-127.785371,9.9987E-08,-329.2711596,-132.2271444,-332.6913642,-122.8302194,4.726837098,10
-331.0543735,-127.8607866,9.5738E-08,-329.4424582,-132.289492,-332.8626566,-122.8925646,4.712929291,10
-331.2214264,-127.936237,8.5147E-08,-329.6142179,-132.3520074,-333.0344185,-122.9550808,4.699164552,10
-331.388997,-128.0117132,3.0166E-08,-329.7864415,-132.4146917,-333.2066473,-123.0177671,4.685552706,10
-331.5570941,-128.0871933,-3.518E-08,-329.9591364,-132.4775475,-333.3793368,-123.0806209,4.672117204,10
-331.7257158,-128.1626821,-1.06373E-07,-330.1322944,-132.5405718,-333.5524956,-123.1436456,4.658852965,10
